Fecha,Patrón,Precio,Volumen alto,Soporte,Resistencia,Tendencia previa,Recomendación
2025-09-12 22:00,Piercing Line,116027.46,No,No,No,bajista,⚠️ No clara
2025-09-12 23:00,Hammer,116029.42,No,No,No,lateral,⚠️ No clara
2025-09-12 23:00,Inside Bar,116029.42,No,No,No,lateral,⚠️ No clara
2025-09-13 00:00,Three White Soldiers,116209.32,No,No,No,alcista,⚠️ No clara
2025-09-13 01:00,Dark Cloud Cover,115764.30,No,No,No,alcista,⚠️ No clara
2025-09-13 02:00,Inside Bar,115886.17,No,No,No,lateral,⚠️ No clara
2025-09-13 04:00,Dark Cloud Cover,115698.40,No,No,No,alcista,⚠️ No clara
2025-09-13 05:00,Hammer,115704.04,No,No,No,lateral,⚠️ No clara
2025-09-13 06:00,Inside Bar,115749.99,No,No,No,lateral,⚠️ No clara
2025-09-13 07:00,Shooting Star,115778.71,No,No,No,alcista,⚠️ No clara
2025-09-13 07:00,Three White Soldiers,115778.71,No,No,No,alcista,⚠️ No clara
2025-09-13 08:00,Three White Soldiers,115978.01,No,No,No,alcista,⚠️ No clara
2025-09-13 09:00,Three White Soldiers,116035.33,No,No,No,alcista,⚠️ No clara
2025-09-13 09:00,Inside Bar,116035.33,No,No,No,alcista,⚠️ No clara
2025-09-13 10:00,Dark Cloud Cover,115937.99,No,No,No,alcista,⚠️ No clara
2025-09-13 12:00,Hammer,116002.91,No,No,No,lateral,⚠️ No clara
2025-09-13 12:00,Morning Star,116002.91,No,No,No,lateral,⚠️ No clara
2025-09-13 12:00,Outside Bar,116002.91,No,No,No,lateral,⚠️ No clara
2025-09-13 13:00,Dark Cloud Cover,115761.05,No,Sí,No,alcista,⚠️ No clara
2025-09-13 13:00,Evening Star,115761.05,No,Sí,No,alcista,⚠️ No clara
2025-09-13 14:00,Hammer,115797.68,No,Sí,No,lateral,⚠️ No clara
2025-09-13 15:00,Hammer,115768.68,No,Sí,No,lateral,⚠️ No clara
2025-09-13 15:00,Dark Cloud Cover,115768.68,No,Sí,No,lateral,⚠️ No clara
2025-09-13 15:00,Inside Bar,115768.68,No,Sí,No,lateral,⚠️ No clara
2025-09-13 16:00,Evening Star,115334.00,No,Sí,No,lateral,⚠️ No clara
2025-09-13 17:00,Piercing Line,115571.78,No,Sí,No,bajista,⚠️ No clara
2025-09-13 17:00,Inside Bar,115571.78,No,Sí,No,bajista,⚠️ No clara
2025-09-13 18:00,Hammer,115633.92,No,No,No,lateral,⚠️ No clara
2025-09-13 19:00,Three White Soldiers,115797.12,No,No,No,alcista,⚠️ No clara
2025-09-13 20:00,Three White Soldiers,115905.88,No,No,No,alcista,⚠️ No clara
2025-09-13 21:00,Hammer,115895.39,No,No,No,alcista,⚠️ No clara
2025-09-13 21:00,Inside Bar,115895.39,No,No,No,alcista,⚠️ No clara
2025-09-13 22:00,Hammer,115871.58,No,No,No,lateral,⚠️ No clara
2025-09-13 23:00,Piercing Line,115918.29,No,No,Sí,bajista,⚠️ No clara
2025-09-14 00:00,Hammer,115935.60,No,No,Sí,lateral,⚠️ No clara
2025-09-14 00:00,Outside Bar,115935.60,No,No,Sí,lateral,⚠️ No clara
2025-09-14 01:00,Hammer,115962.93,No,No,Sí,alcista,⚠️ No clara
2025-09-14 01:00,Three White Soldiers,115962.93,No,No,Sí,alcista,⚠️ No clara
2025-09-14 02:00,Dark Cloud Cover,115852.95,No,No,Sí,alcista,⚠️ No clara
2025-09-14 02:00,Evening Star,115852.95,No,No,Sí,alcista,⚠️ No clara
2025-09-14 04:00,Hammer,115750.99,No,Sí,No,bajista,⚠️ No clara
2025-09-14 06:00,Dark Cloud Cover,115734.23,No,No,No,alcista,⚠️ No clara
2025-09-14 06:00,Outside Bar,115734.23,No,No,No,alcista,⚠️ No clara
2025-09-14 07:00,Piercing Line,115805.39,No,No,No,lateral,⚠️ No clara
2025-09-14 07:00,Inside Bar,115805.39,No,No,No,lateral,⚠️ No clara
